code,label,type
K48e,IJsbaanpad e.o.,buurt
K48f,Van Tuyllbuurt,buurt
K49,Apollobuurt,buurtcombinatie
K49a,Diepenbrockbuurt,buurt
K49b,Beethovenbuurt,buurt
K49c,Hiltonbuurt,buurt
K49d,Minervabuurt Noord,buurt
K49e,Minervabuurt Midden,buurt
K49f,Minervabuurt Zuid,buurt
K52,Scheldebuurt,buurtcombinatie
K52a,Wielingenbuurt,buurt
K52b,Scheldebuurt West,buurt
K52c,Scheldebuurt Midden,buurt
K52d,Scheldebuurt Oost,buurt
K52g,Veluwebuurt,buurt
K52h,Kop Zuidas,buurt
K53,IJselbuurt,buurtcombinatie
K53a,IJselbuurt West,buurt
K53b,IJselbuurt Oost,buurt
K54,Rijnbuurt,buurtcombinatie
K54a,Kromme Mijdrechtbuurt,buurt
K54b,Rijnbuurt Oost,buurt
K54c,Rijnbuurt Midden,buurt
K54d,Rijnbuurt West,buurt
K54e,Zorgvlied,buurt
K59,Prinses Irenebuurt e.o.,buurtcombinatie
K59a,Prinses Irenebuurt,buurt
K59b,Beatrixpark,buurt
K90,Buitenveldert-West,buurtcombinatie
K90a,Gelderlandpleinbuurt,buurt
K90c,Buitenveldert Midden Zuid,buurt
K90d,Buitenveldert Zuidwest,buurt
K90e,Amsterdamse Bos,buurt
K90i,Buitenveldert West Midden,buurt
K90j,Zuiderhof,buurt
K91,Buitenveldert-Oost,buurtcombinatie
K91a,De Klenckebuurt,buurt
K91b,Buitenveldert Oost Midden,buurt
K91c,Buitenveldert Zuidoost,buurt
K91d,Amstelpark,buurt
M,Oost,stadsdeel
M27,Weesperzijde,buurtcombinatie
M27a,Swammerdambuurt,buurt
M27b,Weesperzijde Midden/Zuid,buurt
M27c,Parooldriehoek,buurt
M28,Oosterparkbuurt,buurtcombinatie
M28a,Oosterparkbuurt Noordwest,buurt
M28b,Oosterpark,buurt
M28c,Oosterparkbuurt Zuidoost,buurt
M28d,Oosterparkbuurt Zuidwest,buurt
M29,Dapperbuurt,buurtcombinatie
M29a,Dapperbuurt Noord,buurt
M29b,Dapperbuurt Zuid,buurt
M29c,Oostpoort,buurt
M30,Transvaalbuurt,buurtcombinatie
M30a,Transvaalbuurt West,buurt
M30b,Transvaalbuurt Oost,buurt
M31,Indische Buurt West,buurtcombinatie
M31a,Noordwestkwadrant Indische Buurt Noord,buurt
M31b,Noordwestkwadrant Indische Buurt Zuid,buurt
M31c,Zuidwestkwadrant Indische Buurt,buurt
M32,Indische Buurt Oost,buurtcombinatie
M32a,Noordoostkwadrant Indische Buurt,buurt
M32b,Zuidoostkwadrant Indische Buurt,buurt
M32c,Zeeburgerdijk Oost,buurt
M32d,Flevopark,buurt
M33,Oostelijk Havengebied,buurtcombinatie
M33a,Oostelijke Handelskade,buurt
M33b,Rietlanden,buurt
M33c,Java-eiland,buurt
M33d,KNSM-eiland,buurt
M33e,Sporenburg,buurt
M33f,Borneo,buurt
M33g,Entrepot-Noordwest,buurt
M33h,Architectenbuurt,buurt
M33i,Bedrijvengebied Veelaan,buurt
M33j,Bedrijvengebied Cruquiusweg,buurt
M33k,Bedrijvengebied Zeeburgerkade,buurt
M34,Zeeburgereiland/Nieuwe diep,buurtcombinatie
M34a,Zeeburgereiland Noordwest,buurt
M34c,Zeeburgereiland Zuidoost,buurt
M34d,Zeeburgereiland Zuidwest,buurt
M34e,Nieuwe Diep/Diemerpark,buurt
M34f,RI Oost terrein,buurt
M34g,Zeeburgereiland Noordoost,buurt
M35,IJburg West,buurtcombinatie
M35a,Steigereiland Noord,buurt
M35b,Steigereiland Zuid,buurt
M35c,Haveneiland Zuidwest/Rieteiland West,buurt
M35e,Haveneiland Noordwest,buurt
M35f,Haveneiland Noordoost,buurt
M50,IJburg Oost,buurtcombinatie
M50a,Strandeiland,buurt
M50b,Middeneiland Zuidoost,buurt
M50c,Middeneiland Noordoost,buurt
M50d,Middeneiland Zuidwest,buurt
M50e,Middeneiland Noordwest,buurt
M50f,Buiteneiland,buurt
M50g,Centrumeiland,buurt
M51,IJburg Zuid,buurtcombinatie
M51a,Rieteiland Oost,buurt
M51b,Haveneiland Oost,buurt
M51c,Haveneiland Noord,buurt
M55,Frankendael,buurtcombinatie
M55b,De Eenhoorn,buurt
M55c,Julianapark,buurt
M55d,Don Bosco,buurt
M55e,Frankendael,buurt
M55f,Tuindorp Amstelstation,buurt
M55g,De Wetbuurt,buurt
M55h,Tuindorp Frankendael,buurt
M55i,Van der Kunbuurt,buurt
M56,Middenmeer,buurtcombinatie
M56a,Linnaeusparkbuurt,buurt
M56b,Middenmeer Noord,buurt
M56c,Middenmeer Zuid,buurt
M56d,Sportpark Middenmeer Zuid,buurt
M56e,Sportpark Middenmeer Noord,buurt
M56f,Park De Meer,buurt
M56g,Sportpark Voorland,buurt
M56h,Science Park Noord,buurt
M56i,Science Park Zuid,buurt
M57,Betondorp,buurtcombinatie
M57a,Betondorp,buurt
M57b,Nieuwe Oosterbegraafplaats,buurt
M57c,Drieburg,buurt
M58,Omval/Overamstel,buurtcombinatie
M58b,Weespertrekvaart,buurt
M58e,Amstelglorie,buurt
M58f,Overamstel,buurt
M58g,Amstelkwartier Noord,buurt
M58h,De Omval,buurt
M58i,Amstelkwartier Zuid,buurt
M58j,Amstelkwartier West,buurt
N,Noord,stadsdeel
N60,Volewijck,buurtcombinatie
N60a,Van der Pekbuurt,buurt
N60b,Bloemenbuurt Zuid,buurt
N60c,Bloemenbuurt Noord,buurt
N61,IJplein/Vogelbuurt,buurtcombinatie
N61a,IJplein e.o.,buurt
N61b,Vogelbuurt Zuid,buurt
N61c,Vogelbuurt Noord,buurt
N61d,Vliegenbos,buurt
N62,Tuindorp Nieuwendam,buurtcombinatie
N62a,Tuindorp Nieuwendam West,buurt
N62b,Tuindorp Nieuwendam Oost,buurt
N63,Tuindorp Buiksloot,buurtcombinatie
N63a,Blauwe Zand,buurt
N64,Nieuwendammerdijk/Buiksloterdijk,buurtcombinatie
N64a,Buiksloterdijk West,buurt
N64b,Buiksloterdijk Oost,buurt
N64c,Nieuwendammerdijk West,buurt
N64d,Nieuwendammerdijk Oost,buurt
N64e,Nieuwendammerdijk Zuid,buurt
N65,Tuindorp Oostzaan,buurtcombinatie
N65a,Tuindorp Oostzaan West,buurt
N65b,Tuindorp Oostzaan Oost,buurt
N65c,Terrasdorp,buurt
N65d,De Bongerd,buurt
N66,Oostzanerwerf,buurtcombinatie
N66a,Molenwijk,buurt
N66b,Oostzanerdijk,buurt
N66c,Walvisbuurt,buurt
N66d,Twiske West,buurt
N66e,Noorder IJplas,buurt
N66f,Molenwijk,buurt
N66g,Circus/Kermisbuurt,buurt
N67,Kadoelen,buurtcombinatie
N67a,Kadoelen,buurt
N67b,Twiske Oost,buurt
N68,Waterlandpleinbuurt,buurtcombinatie
N68a,Markengouw Noord,buurt
N68b,Werengouw Noord,buurt
N68c,Werengouw Midden,buurt
N68d,Markengouw Midden,buurt
N68e,Markengouw Zuid,buurt
N68f,Werengouw Zuid,buurt
N68g,De Weeren,buurt
N69,Buikslotermeer,buurtcombinatie
N69a,Rode Kruisbuurt,buurt
N69b,Buikslotermeerpleinbuurt,buurt
N69c,Loenermark,buurt
N69d,Nieuwendam Noordwest Zuid,buurt
N69e,Nieuwendam Noordwest Noord,buurt
N69f,Nintermanterrein,buurt
N69g,Elzenhagen,buurt
N69h,Jeugdland,buurt
N69i,Buikslotermeer Noord,buurt
N69j,Buikslotermeerplein,buurt
N69k,Plan van Gool,buurt
N69l,De Kleine Wereld,buurt
N69m,Buikslotermeer Noord,buurt
N70,Banne Buiksloot,buurtcombinatie
N70a,Banne Zuidwest,buurt
N70b,Banne Zuidoost,buurt
N70c,Banne Noordwest,buurt
N70d,Banne Noordoost,buurt
N70e,Buiksloterbreek,buurt
N70f,Marjoleinterrein,buurt
N71,Buiksloterham,buurtcombinatie
N71a,Buiksloterham,buurt
N71b,Shell-terrein,buurt
N71c,Papaverweg e.o.,buurt
N71d,Cornelis Douwesterrein,buurt
N71e,Cornelis Douwesterrein,buurt
N71f,NDSM terrein,buurt
N71g,Buiksloterham,buurt
N71h,Overhoeks,buurt
N72,Noordelijke IJ-oevers West,buurtcombinatie
N72a,Bedrijventerrein Hamerstraat,buurt
N72b,Zamenhofstraat e.o.,buurt
N72c,Bedrijventerrein Nieuwendammerdijk,buurt
N73,Waterland,buurtcombinatie
N73a,Schellingwoude West,buurt
N73b,Schellingwoude Oost,buurt
N73c,Schellingwoude Noord,buurt
N73d,Durgerdam,buurt
N73e,Zwarte Gouw,buurt
N73f,Ransdorp,buurt
N73g,Holysloot,buurt
N73h,Zunderdorp,buurt
N73i,Noorderstrook West,buurt
N73j,Noorderstrook Oost,buurt
N74,Elzenhagen,buurtcombinatie
N74a,Nintemanterrein,buurt
N74b,Elzenhagen Zuid,buurt
N74c,Elzenhagen Noord,buurt
T,Zuidoost,stadsdeel
T92,Amstel III/Bullewijk,buurtcombinatie
T92a,Hoofdcentrum Zuidoost,buurt
T92b,Amstel III deel A/B Noord,buurt
T92c,Amstel III deel C/D Noord,buurt
T92d,Amstel III deel A/B Zuid,buurt
T92e,Amstel III deel C/D Zuid,buurt
T92f,AMC,buurt
T92g,Hoge Dijk,buurt
T93,Bijlmer Centrum,buurtcombinatie
T93a,Venserpolder West,buurt
T93b,Venserpolder Oost,buurt
T93c,D-buurt,buurt
T93d,F-buurt,buurt
T93e,Amsterdamse Poort,buurt
T93f,Hoptille,buurt
T93g,Rechte H-buurt,buurt
T93h,Hakfort/Huigenbos,buurt
T93i,Huntum,buurt
T93j,Vogeltjeswei,buurt
T93k,Nelson Mandelapark,buurt
T94,Bijlmer Oost,buurtcombinatie
