"name","city","link",
"Museum Drachten","Drachten","https://www.museumkaart.nl/museum/Museum+Drachten+.aspx",
"Streek & Landbouwmuseum Goemanszorg","Dreischor","https://www.museumkaart.nl/museum/Streek+%26+Landbouwmuseum+Goemanszorg.aspx",
"Pieter Vermeulen Museum","Driehuis","https://www.museumkaart.nl/museum/Pieter+Vermeulen+Museum.aspx",
"Edams Museum","Edam","https://www.museumkaart.nl/museum/Edams+Museum.aspx",
"Internationaal Klompenmuseum","Eelde","https://www.museumkaart.nl/museum/Internationaal+Klompenmuseum.aspx",
"Museum de Buitenplaats","Eelde","https://www.museumkaart.nl/museum/Museum+de+Buitenplaats.aspx",
"Kempenmuseum De Acht Zaligheden","Eersel","https://www.museumkaart.nl/museum/Kempenmuseum+De+Acht+Zaligheden.aspx",
"Museum van Egmond","Egmond aan zee","https://www.museumkaart.nl/museum/Museum+van+Egmond.aspx",
"Museum de Scheper","Eibergen","https://www.museumkaart.nl/museum/Museum+de+Scheper.aspx",
"DAF Museum","Eindhoven","https://www.museumkaart.nl/museum/DAF+Museum.aspx",
"MU","Eindhoven","https://www.museumkaart.nl/museum/MU.aspx",
"Philips Museum","Eindhoven","https://www.museumkaart.nl/museum/Philips+Museum.aspx",
"PreHistorisch Dorp","Eindhoven","https://www.museumkaart.nl/museum/PreHistorisch+Dorp.aspx",
"Van Abbemuseum","Eindhoven","https://www.museumkaart.nl/museum/Van+Abbemuseum.aspx",
"Museum Elburg","Elburg","https://www.museumkaart.nl/museum/Museum+Elburg.aspx",
"Museum Sjoel Elburg","Elburg","https://www.museumkaart.nl/museum/Museum+Sjoel+Elburg.aspx",
"Streekmuseum Schippersbeurs","Elsloo (l)","https://www.museumkaart.nl/museum/Streekmuseum+Schippersbeurs.aspx",
"Flessenscheepjesmuseum","Enkhuizen","https://www.museumkaart.nl/museum/Flessenscheepjesmuseum.aspx",
"Zuiderzeemuseum","Enkhuizen","https://www.museumkaart.nl/museum/Zuiderzeemuseum.aspx",
"De Museumfabriek","Enschede","https://www.museumkaart.nl/museum/De+Museumfabriek.aspx",
"Rijksmuseum Twenthe","Enschede","https://www.museumkaart.nl/museum/Rijksmuseum+Twenthe.aspx",
"Veluws Museum Hagedoorns Plaatse","Epe","https://www.museumkaart.nl/museum/Veluws+Museum+Hagedoorns+Plaatse.aspx",
"Het Pakhuis","Ermelo","https://www.museumkaart.nl/museum/Het+Pakhuis.aspx",
"Streekmuseum Etten Leur","Etten-leur","https://www.museumkaart.nl/museum/Streekmuseum+Etten+Leur.aspx",
"Museum Wierdenland Ezinge","Ezinge","https://www.museumkaart.nl/museum/Museum+Wierdenland+Ezinge.aspx",
"Museum Martena","Franeker","https://www.museumkaart.nl/museum/Museum+Martena.aspx",
"Museum 'De Roos'","Geertruidenberg","https://www.museumkaart.nl/museum/Museum+%27De+Roos%27.aspx",
"Museum Giethoorn 't Olde Maat Uus","Giethoorn","https://www.museumkaart.nl/museum/Museum+Giethoorn+%27t+Olde+Maat+Uus.aspx",
"Historisch Museum De Bevelanden","Goes","https://www.museumkaart.nl/museum/Historisch+Museum+De+Bevelanden.aspx",
"Gorcums Museum","Gorinchem","https://www.museumkaart.nl/museum/Gorcums+Museum.aspx",
"Museum Opsterlân","Gorredijk","https://www.museumkaart.nl/museum/Museum+Opsterl%c3%a2n.aspx",
"Museum MORE","Gorssel","https://www.museumkaart.nl/museum/Museum+MORE.aspx",
"Museum Gouda","Gouda","https://www.museumkaart.nl/museum/Museum+Gouda.aspx",
"Sint Jan Gouda","Gouda","https://www.museumkaart.nl/museum/Sint+Jan+Gouda.aspx",
"Verzetsmuseum Zuid-Holland","Gouda","https://www.museumkaart.nl/museum/Verzetsmuseum+Zuid-Holland.aspx",
"Graafs Museum","Grave","https://www.museumkaart.nl/museum/Graafs+Museum.aspx",
"Nationaal Bevrijdingsmuseum 1944-1945","Groesbeek","https://www.museumkaart.nl/museum/Nationaal+Bevrijdingsmuseum+1944-1945.aspx",
